id,user_id,timestamp,text
MTI5OTUy.J5dc86P8fPyvqD1GdHUUW7ruE0c,uid-2350789765717880243,2015-02-06T14:12:57,Men and women's brains are wired differently. Men sense the feeling and then switch to a different part of the brain in order to solve the problem. Women sense the feelings and stay with it which helps with nurturing and empathy. It's called the "tend-and-befriend" response to stress.
MTI5OTUz.ff0O8jnG28F9IFcAsQ1EUyl3TaU,uid-8529133183187015683,2015-02-06T14:13:54,Different emotions and men are trained to suppress them
MTE5MTM3.EON8fRcwGDM4WIWQ_Dsd2CEq-mk,uid-8529133183187015683,2015-01-27T20:51:44,I go to weather.com
MTA0Njg2.LZ1NB5GmBEjDIJs-sVKsPLwxjwo,uid-2553235734972705919,2015-01-09T20:35:37,Balogna
MTI3ODQ0.CLIvOu7ShYMcb0Sh6Lnj6Jif0LI,uid-3688118382361809286,2015-02-04T18:56:13,They will a championship this year
MTI4NzY2.GjY0GuUjCExn2SKEAlK4goyuUwQ,uid-7113496701631595219,2015-02-05T15:11:09,An option in the middle
MTI4NzYz.0V7yL_HsabnRONZApx4w7PWzc00,uid-8529133183187015683,2015-02-05T15:00:44,It a not that I don't care; I just haven't followed the story
MTI4NzY0.Lbuvpj5kRWv-9IP44KqeVrHPQek,uid-5628842795894799203,2015-02-05T15:03:37,The role of news anchor requires trust.  This is particularly true for our national news anchors.  Given the importance of accuracy in the journalistic ethos this is a big deal.  As a personal fan and loyal viewer of NBC Nightly News I am especially disappointed.
OTgyMDI.PTXFOn_7VJcWn1Rd5I1r39N82pQ,uid-5628842795894799203,2014-12-27T01:27:51,Getting ready for 2015!
MTIzOTE1._LmiTCCs3jyX3cIQoeCDt_S6Ivg,uid-8529133183187015683,2015-02-01T17:10:52,Seattle in a last minute TD
OTM5OTY.DBBsm3EdO89wnCGnoK0ECkdT0as,uid-2553235734972705919,2014-12-17T20:28:46,I  have met christal!
MTI5NTA4.byAbUWrAcd414jsGLYWPt5aXeU8,uid-8188795548508276876,2015-02-05T22:21:47,The Listen Linda kid!!
MTI5OTE0.r97zYxofnOxwCBwrd1A13RtqlQA,uid-5889211434205611670,2015-02-06T13:21:27,Drum off between Will And Chad on Jimmy Fallon
MTE4ODE2.pN3RvJL_32zGuSfzJ_F6UoQPiBY,uid-5628842795894799203,2015-01-27T16:30:55,Whether you find it offenseive or not can these *professional* athletes behave like professionals?  When did "acting like an ass" become a part of being a professional athlete?
MTIxODY2.f0O6c9xTlODqWl_YZl1AIw9lnpc,uid-3688118382361809286,2015-01-30T15:44:05,27-24. Seattle's Legion of Boom knock down a Brady pass into end zone as time expires to seal the win.
MTIxODY3.bwcH5_r1Dk3b0poo3litEc1oAfk,uid-590699782026937539,2015-01-30T15:53:23,Close game; Seahawks start to pull away in the 3rd quarter.
MTIxODY4.XkLGAnWnODehSRMPBevMt-XrCXM,uid-5628842795894799203,2015-01-30T15:53:37,Patriots: 28 Seahawks: 17  Even/close at the half; then the Patriots grind the Seahawks down.
MTIyMTQ3.cYh-X9c77e1S85EIXf6KS6WYUK8,uid-8887317209463487990,2015-01-30T17:32:59,32-27
MTIyMTcx.jrNp_XgadK8C3dunQpvYFs3_CHg,uid-581406661312027772,2015-01-30T18:31:03,Beast Mode eats up the clock and opens play action & read option
MTIyMTc0.9TENA3PqxX-SoN_DWEqqo_DdNWc,uid-4333367279312829941,2015-01-30T18:43:44,Pat; 35; birds 32
MTIzODIz.r4nyOJULxhPo92BavwGO6dMqKos,uid-8264281443582661857,2015-02-01T13:13:40,35-17. Brady named MVP and announces retirement after game.
MTI4NzUx.izYZcQUkoyJdk7zrioJrYWOGpco,uid-8529133183187015683,2015-02-05T13:44:09,Ethics aside; technology is getting where we can grown human cell masses to the point where drug testing is much more accurate.
MTI4NzUy.zNOVZLgJp1jXkXzylVN4JjEMjyg,uid-4336972509550173757,2015-02-05T14:07:28,Animals or humans 
